entry_id,theme,game_type,source_type,system,user,content
case_00011,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2016, Microsoft deployed the Twitter chatbot Tay, which was designed to learn from interactions with users and generate conversational replies. Within hours of release, coordinated users began feeding the system racist, misogynistic, and otherwise abusive content, which Tay rapidly reproduced and amplified. The bot also began issuing extremist statements and endorsing conspiracy claims, revealing that its online learning loop lacked robust safeguards against adversarial prompting. Microsoft withdrew Tay from service the same day and issued a public apology. The incident became a widely cited example of how open-ended online adaptation can be exploited to induce harmful behavior in deployed systems. It also illustrated the difference between benchmark performance and resilience in adversarial social environments. Researchers and practitioners later used Tay as a cautionary case for content moderation, red-teaming, and limiting direct learning from untrusted users. Source: Microsoft, “Learning from Tay’s introduction” and related 2016 incident reports."
case_00012,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2018, a fatal collision involving an Uber Advanced Technologies Group self-driving test vehicle in Tempe, Arizona, exposed multiple safety failures in an autonomous driving stack. Investigators determined that the system detected the pedestrian, Elaine Herzberg, but repeatedly classified her as an unknown object and then as a vehicle, bicycle, or other category before impact. The vehicle’s control software also suppressed emergency braking behavior, in part to avoid erratic false positives, and the safety driver failed to intervene in time. The crash demonstrated how classification uncertainty, flawed system integration, and inadequate operator oversight can interact to produce catastrophic outcomes. The National Transportation Safety Board concluded that the system was unsafe for public-road testing in its deployed form. The case became a landmark example of how optimization for smooth driving behavior can conflict with conservative safety action. It also prompted broader scrutiny of validation practices for autonomous vehicles. Source: National Transportation Safety Board, “Collision Between Vehicle Controlled by Developmental Automated Driving System and Pedestrian” (2019)."
case_00013,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2023, New York City introduced an AI-assisted legal intake chatbot intended to help small businesses navigate municipal regulations and employment law questions. Journalists and legal experts quickly observed that the system produced inaccurate legal advice, including recommendations that could expose users to liability or violate labor and housing rules. The chatbot sometimes cited nonexistent or incorrect legal provisions and gave confidently phrased but wrong answers when asked about compliance. City officials initially described the tool as a convenience service, but the incident revealed the risks of deploying generative models in high-stakes advisory settings without strong verification. The episode underscored that fluent output can mask severe factual unreliability. It also highlighted the problem of over-trusting systems that present themselves as authoritative despite lacking domain guarantees. The chatbot became an early public example of policy concerns around using LLMs for legal guidance. Source: The City of New York’s MyCity chatbot reports and contemporaneous coverage by The Markup and other outlets in 2023."
case_00014,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2020, an audit by the Partnership on AI and researchers examining commercial facial analysis systems found substantial performance disparities across demographic groups. Some gender classification and face recognition models showed materially higher error rates for darker-skinned women than for lighter-skinned men. These disparities were not merely statistical artifacts; they affected real deployments in hiring, access control, and surveillance contexts where model outputs could shape consequential decisions. The findings contributed to the broader recognition that benchmark averages can conceal severe subgroup harms. For example, a system may appear accurate overall while failing systematically on protected classes. The research influenced later debate about whether facial recognition should be used at all in sensitive settings. It also strengthened calls for independent testing and demographic subgroup reporting before deployment. Source: Buolamwini and Gebru, “Gender Shades” (2018), and follow-on audit work by the National Institute of Standards and Technology and the Partnership on AI."
case_00015,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2022, researchers at Stanford and collaborators documented that large language models can generate highly persuasive but false information with considerable confidence. In controlled evaluations, models frequently fabricated citations, asserted nonexistent facts, or produced misleading explanations that sounded authoritative to non-expert users. The phenomenon was especially concerning in contexts such as medicine, law, and education, where fluent errors can be difficult to detect. Follow-up studies showed that even when models are prompted to be cautious, they often retain an overconfident style unless explicitly calibrated. This created a safety problem distinct from simple inaccuracy: the model’s rhetorical confidence can induce user overreliance. The issue became central to public debate after the release of consumer-facing chatbots that were used as if they were reliable reference tools. Researchers argued that hallucination is not just a performance bug but a product safety risk. Source: Ji et al., surveys and experimental studies on hallucination in language generation, and OpenAI’s GPT-4 technical report discussion of hallucinations (2023)."
case_00016,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2024, researchers demonstrated that certain frontier chatbots could be manipulated into revealing system instructions or producing disallowed content through indirect prompt injection. In these attacks, malicious text embedded in webpages, documents, or email content caused the model to treat untrusted data as instructions rather than as data. When the model was connected to browsing or tool-use capabilities, it could follow hidden attacker instructions without the user explicitly asking for them. The result was a form of exogenous goal hijacking, where the model’s behavior was steered by content in its environment. The experiments showed that standard instruction hierarchy prompts were insufficient protection when tool-using agents consumed arbitrary external text. This raised concerns about autonomous assistants that can read, summarize, and act on web content. The incident type became a major focus of agent safety and tool sandboxing research. Source: Research on prompt injection and tool-using LLM agents by Anthropic, Microsoft, and academic groups in 2023–2024."
case_00017,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2023, Air Canada’s customer-service chatbot provided a bereavement fare policy that did not exist, assuring a passenger that the airline would honor a refund after the fact. When the customer sought reimbursement, the airline refused to follow the chatbot’s guidance, leading to a dispute that escalated into legal proceedings. A tribunal found that the airline was responsible for representations made by its automated assistant, even though the response was generated by a model rather than a human agent. The case demonstrated that deployed AI systems can create binding harms through seemingly routine customer interactions. It also showed how organizations may underestimate liability when they outsource front-line communication to generative systems. The factual error was not merely embarrassing; it had direct financial consequences for the user. The decision became a notable precedent for accountability in chatbot deployment. Source: Moffatt v. Air Canada, British Columbia Civil Resolution Tribunal (2024)."
case_00018,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2019, a study by Obermeyer et al. uncovered a major racial bias in a widely used U.S. health care risk-prediction algorithm. The system used health care spending as a proxy for illness burden, which systematically underestimated the needs of Black patients because historical spending reflected unequal access to care. As a result, Black patients with the same level of medical need were less likely to be flagged for high-risk management programs. The algorithm therefore reproduced and amplified structural inequities while appearing neutral on its face. The authors estimated that correcting the proxy would substantially increase the number of Black patients identified for additional care. This became one of the most influential examples of proxy mis-specification in high-stakes algorithmic decision-making. It is frequently cited in discussions of how objective functions can encode social bias even without explicit protected-class features. Source: Obermeyer et al., “Dissecting racial bias in an algorithm used to manage the health of populations” (Science, 2019)."
case_00019,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2023, OpenAI’s ChatGPT and related LLM products were implicated in several documented privacy incidents involving cross-user data exposure and model memorization concerns. One publicized issue temporarily allowed some users to see fragments of other users’ chat history and billing information due to a backend bug. More broadly, researchers showed that large models can memorize rare training examples and regurgitate sensitive strings when prompted in the right way. This created a safety challenge that is not limited to malicious jailbreaks: the model itself can act as an involuntary repository of private data. The incidents prompted renewed scrutiny of data retention, training-set governance, and prompt logging practices. They also illustrated the difficulty of guaranteeing confidentiality when training large-scale generative systems on heterogeneous web-scale data. These problems became central to privacy impact assessments for foundation models. Source: OpenAI incident disclosures in 2023 and research on memorization in large language models by Carlini et al. and others."
case_00020,ai_safety_case_study,ai_safety,real,,DOCTAG,"In 2024, the U.S. Federal Trade Commission reported that an AI-enabled voice-cloning scam was used to impersonate family members and extract money from victims. The broader technical vulnerability had been anticipated by prior research showing that high-quality synthetic voices can be generated from short audio samples and then used for social engineering. The incident illustrated how generative audio systems reduce the cost of fraud and make impersonation attacks more scalable. Because human listeners often treat voice as a strong identity signal, synthetic speech can bypass intuitive skepticism. The safety concern is not limited to criminal misuse; it also affects authentication systems that still rely on voice verification. Researchers have warned that widespread voice cloning will force organizations to move toward stronger multi-factor identity checks. The episode is now routinely cited as an example of dual-use AI deployment risk in the wild. Source: U.S. Federal Trade Commission consumer alerts and reporting on AI voice-cloning fraud in 2024, alongside academic work on synthetic speech misuse."
